;;;;;;📊 BÁO CÁO TÀI CHÍNH TỔNG HỢP – THÁNG 4/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DANH MỤC CHỈ TIÊU P&L;Hội An;;VTV8;;PHT;;111 NHT;;109 NHT;;Phố Đi Bộ;;Chợ Hàn + Bảo Tàng;;Cá Chép;;Bảo Tàng;;"Doanh thu Tổng 
Cà Phê Đóng Gói và Hàng lưu niệm";;Doanh thu Sự Kiện;;Doanh thu Bếp;;CÔNg TY - BO;;TỔNG HỆ THỐNG;;;;;;;;;;;;;;;
;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;Giá trị (VND);% / DT;;;;;;;;;;;;;;
3. Khấu Hao: Chỉ có sở VTV8 và NHT có khấu hao;;;;;;;;;738.340.781 đ;;;;;;;;;;Các cơ sở còn lại theo hình thức ký gửi, chốt sản phẩm bán trong kỳ;;;;;;;;;;;Quản lý tồn kho;tồn đầu;Tồn cuối;;;;;;;;;;
4. Hạng mục Cà Phê Đóng Gói và Quà lưu niệm chỉ mới có chi phí Cost hàng bán, chưa có chi phí khác;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CP hàng bán của bếp;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;PHT GÁNH BAO BÌ, LY GIẤY.... CHO CÁC CỬA HÀNG;;;;;;;;;;;;;;;;;;;;;Doanh thu của bếp là cost của cửa hàng;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chuyển hết sơ chế về Bếp;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tính doanh thu cho bếp trên hàng bán;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Không ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chợ Hàn, Cá chép, Bảo tàng tách lương nhân viên theo % doanh thu;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tính phương án đưa về Bếp;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chuẩn bị CCDC;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NV chở hàng;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NV Bếp;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tối ưu chi phí bếp, cắt nhân công PHT;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tính cost đầu vào của bếp, tính giá tăng lên;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mục tiêu: Không tăng Cp nhân viên bếp, ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
